words,links,capital_words,spam_word_count,is_spam
112,3,13,7,1
219,2,9,2,0
273,0,0,2,0
210,2,6,3,1
162,3,3,5,0
198,3,19,4,1
149,1,8,10,1
48,2,9,1,0
161,5,5,0,0
266,2,5,4,0
695,2,0,3,1
114,0,0,0,0
110,0,3,1,0
359,9,2,6,1
120,3,20,4,1
116,5,24,10,1
289,0,14,6,1
381,1,1,0,0
524,2,11,4,1
106,0,2,1,0
427,2,2,1,0
659,1,13,5,1
111,1,1,1,0
638,10,20,2,1
59,4,1,2,0
404,1,2,6,0
269,0,1,2,0
63,1,0,2,0
158,6,19,1,1
167,2,3,4,0
26,2,1,2,0
166,0,9,0,0
176,1,6,2,0
973,9,27,9,1
652,2,9,6,1
144,6,8,4,1
224,1,3,2,0
152,2,1,6,0
157,2,13,5,1
268,0,2,2,0
161,4,8,8,1
459,2,0,1,0
292,1,3,1,0
468,1,4,1,0
944,3,23,7,1
78,1,9,2,0
490,3,30,1,1
112,7,6,5,1
405,10,14,5,1
413,8,24,1,1
106,5,3,1,0
869,5,5,3,1
23,0,3,2,0
992,1,18,1,1
691,7,26,10,1
703,4,6,10,1
547,3,2,3,1
473,1,0,2,0
256,0,1,1,0
385,3,25,8,1
205,7,13,7,1
688,7,29,3,1
140,0,3,2,0
867,1,3,4,1
464,5,0,2,0
128,5,4,3,1
244,2,0,1,0
249,0,3,3,0
269,0,15,5,1
622,9,22,7,1
67,1,3,1,0
232,6,29,9,1
694,2,16,7,1
510,4,21,9,1
280,2,2,2,0
470,1,3,1,0
781,10,3,0,1
283,1,1,1,0
45,2,0,1,0
816,0,20,7,1
274,1,2,2,0
88,4,0,1,0
682,4,16,3,1
379,0,3,2,0
272,5,20,5,1
609,8,20,8,1
293,2,0,1,0
343,5,0,4,1
124,9,7,6,1
83,2,23,3,1
297,5,2,0,0
113,0,6,6,0
615,7,7,7,1
116,2,3,1,0
89,2,3,1,0
226,5,8,2,0
231,1,2,6,0
132,0,26,5,1
521,4,14,8,1
248,4,10,1,0
39,2,5,1,0
97,2,1,1,0
250,10,0,4,1
252,0,2,4,0
228,1,3,2,0
892,7,24,8,1
244,9,4,10,1
281,2,4,6,1
869,5,24,3,1
232,2,4,2,0
166,2,5,4,1
415,6,29,6,1
296,2,3,1,0
208,1,2,0,0
92,1,2,0,0
39,0,4,0,0
251,8,10,9,1
212,5,1,3,0
79,2,8,5,0
185,1,2,2,0
198,0,2,2,0
277,8,15,3,1
304,1,7,0,0
160,3,2,9,1
92,1,7,0,0
88,2,18,8,1
162,4,1,4,0
125,0,0,0,0
259,1,0,0,0
107,2,2,6,0
543,10,9,8,1
91,3,0,5,0
502,6,4,5,1
93,1,5,1,0
175,5,6,9,1
749,4,1,10,1
25,2,7,0,0
269,2,0,5,0
57,3,24,6,1
715,6,26,5,1
425,3,13,5,1
457,0,2,0,0
688,9,28,9,1
289,2,3,0,0
23,3,0,1,0
616,4,30,5,1
405,7,17,8,1
387,3,19,3,1
979,8,28,5,1
244,0,0,0,0
192,1,1,1,0
296,2,28,9,1
577,9,11,8,1
210,0,0,1,0
812,9,13,7,1
173,2,18,6,1
706,7,27,7,1
257,4,3,1,0
298,3,1,2,0
87,0,3,1,0
133,0,2,0,0
184,1,0,8,1
75,3,7,6,1
32,4,3,2,0
281,1,3,0,0
59,0,1,2,0
203,2,2,5,0
218,2,3,1,0
66,2,0,6,0
284,0,3,6,0
858,7,20,1,1
50,0,1,0,0
178,2,5,3,1
257,2,2,2,0
197,0,1,2,0
297,9,14,3,1
230,0,3,2,0
153,5,10,0,0
196,1,0,6,0
70,9,17,1,1
163,2,3,2,0
565,10,14,10,1
234,1,3,1,0
299,8,0,10,1
193,10,7,4,1
193,7,18,1,1
259,8,21,9,1
76,0,7,6,0
123,9,2,3,1
87,1,3,1,0
208,2,8,1,0
536,9,5,10,1
83,10,5,4,1
367,3,2,2,0
275,1,1,2,0
322,0,2,4,0
268,0,0,0,0
209,2,0,1,0
245,4,16,0,1
217,2,3,2,0
126,1,3,0,0
356,10,17,4,1
127,2,10,1,0
731,3,13,7,1
145,2,7,2,0
145,1,3,2,0
364,0,1,0,0
99,4,2,0,0
43,0,5,1,0
212,2,0,6,0
270,1,3,0,0
382,1,14,0,1
191,2,1,4,1
251,1,0,0,0
922,6,7,10,1
175,2,3,1,0
81,10,22,8,1
176,2,1,2,0
136,0,1,2,0
133,0,0,1,0
486,9,27,3,1
179,2,29,6,1
243,2,2,4,0
216,7,23,10,1
319,1,3,2,0
228,1,0,2,0
85,6,4,3,1
28,4,0,0,0
64,9,24,2,1
90,0,2,2,0
567,3,1,9,1
181,0,2,2,0
297,0,1,2,0
129,7,18,2,1
805,10,3,1,1
46,2,0,0,0
165,0,20,4,1
343,10,21,9,1
193,6,1,8,1
123,3,5,4,1
396,4,16,4,1
31,5,1,6,0
29,1,3,2,0
504,2,29,7,1
646,4,5,7,1
112,2,6,0,0
79,4,0,2,0
277,1,2,4,0
721,5,19,1,1
548,5,2,10,1
610,7,4,5,1
582,9,9,3,1
164,2,3,1,0
166,0,22,7,1
431,4,5,5,1
410,5,0,10,1
912,9,5,9,1
202,1,1,2,0
115,1,5,0,0
693,9,26,2,1
834,0,9,6,1
186,0,2,1,0
708,3,7,8,1
278,4,0,0,0
101,0,9,2,0
656,7,29,5,1
39,2,1,0,0
764,3,13,3,1
484,9,7,10,1
679,7,14,7,1
488,0,3,2,0
162,5,5,9,1
120,2,25,9,1
219,1,2,2,0
923,4,20,5,1
90,2,21,6,1
710,0,26,4,1
453,1,0,1,0
204,0,3,1,0
36,3,0,2,0
217,0,3,0,0
65,7,28,10,1
70,7,1,8,1
545,10,7,0,1
163,1,0,1,0
189,5,5,7,1
651,10,1,9,1
248,0,5,4,0
358,0,21,6,1
161,8,26,9,1
779,3,23,8,1
65,0,4,2,0
254,0,1,2,0
217,0,1,1,0
181,1,4,3,0
243,2,0,0,0
256,3,23,4,1
102,6,19,7,1
183,5,24,9,1
231,4,6,10,1
446,0,4,2,0
357,9,16,1,1
383,4,2,2,0
201,0,7,2,0
178,0,9,3,0
296,3,17,0,1
595,3,30,6,1
231,9,22,5,1
427,3,16,6,1
545,7,19,3,1
242,1,2,1,0
363,8,9,9,1
857,7,6,9,1
298,2,2,3,0
190,4,5,3,1
111,2,0,2,0
56,4,30,8,1
823,4,7,10,1
256,2,8,10,1
192,7,17,9,1
181,8,6,6,1
436,10,10,1,1
336,2,9,9,1
106,1,0,2,0
285,1,2,1,0
300,5,3,6,1
379,2,11,8,1
919,0,16,8,1
448,9,10,9,1
179,0,1,2,0
739,2,23,10,1
183,3,30,0,1
159,2,9,2,0
186,5,5,9,1
140,8,25,7,1
819,3,28,0,1
257,2,1,0,0
667,1,1,7,1
27,1,2,2,0
275,9,3,5,1
460,2,9,8,1
79,0,8,6,0
223,9,30,1,1
997,4,30,3,1
78,3,3,9,1
150,2,10,1,0
183,0,2,0,0
166,2,1,2,0
90,1,3,2,0
168,3,27,5,1
553,4,25,4,1
533,2,5,4,1
218,2,0,4,0
328,10,1,4,1
65,3,2,7,1
414,3,14,3,1
204,2,2,2,0
83,2,0,0,0
254,1,1,0,0
184,0,4,0,0
735,10,29,1,1
148,3,0,1,0
332,7,5,6,1
491,3,3,1,0
207,2,9,2,0
100,1,1,1,0
58,3,1,10,1
832,4,16,1,1
868,9,14,5,1
869,3,26,6,1
238,1,2,1,0
130,2,1,6,0
235,0,1,3,0
294,2,1,0,0
251,1,1,0,0
601,7,3,5,1
96,7,5,10,1
270,2,2,4,0
118,5,30,7,1
442,3,28,10,1
263,1,0,2,0
121,8,10,8,1
79,4,25,6,1
470,1,18,9,1
185,2,1,1,0
178,1,2,2,0
607,9,11,1,1
115,4,10,0,0
635,7,23,1,1
334,5,5,9,1
502,10,27,6,1
959,3,13,10,1
108,10,24,10,1
445,0,3,2,0
196,4,2,3,0
57,0,1,2,0
129,1,3,4,0
794,0,27,6,1
652,8,3,6,1
363,5,11,5,1
86,0,5,0,0
242,2,2,1,0
355,1,4,6,0
25,4,0,5,0
239,1,8,1,0
357,1,3,1,0
452,3,14,4,1
399,9,21,2,1
197,6,14,4,1
114,8,4,2,1
880,1,17,7,1
210,0,1,1,0
62,7,21,7,1
253,0,3,1,0
148,2,7,1,0
184,0,18,5,1
52,0,2,2,0
92,3,17,5,1
176,5,4,4,1
511,3,15,10,1
52,2,0,1,0
226,0,3,0,0
69,0,3,1,0
145,2,3,0,0
340,0,2,2,0
264,0,0,2,0
949,8,19,9,1
977,3,5,6,1
856,3,1,6,1
172,0,0,3,0
191,6,19,8,1
164,2,0,0,0
793,4,1,2,1
124,9,7,5,1
983,3,14,5,1
82,6,22,1,1
124,2,29,5,1
393,7,20,4,1
408,1,0,1,0
609,6,5,2,1
27,4,2,4,0
187,8,15,6,1
383,1,1,0,0
363,1,2,0,0
830,8,5,10,1
436,9,29,5,1
265,4,2,0,0
325,6,3,8,1
42,2,3,1,0
807,7,22,4,1
277,1,10,0,0
208,4,1,2,0
269,1,8,0,0
133,4,23,3,1
255,1,2,0,0
494,1,2,0,0
523,10,19,10,1
165,0,3,1,0
794,2,11,9,1
57,1,2,0,0
134,5,3,10,1
64,9,10,6,1
263,2,3,0,0
290,3,2,2,0
581,4,0,1,1
560,3,23,9,1
672,5,23,4,1
288,5,0,1,0
176,8,24,1,1
732,2,13,3,1
652,5,3,3,1
905,5,5,7,1
157,0,5,4,0
190,1,1,1,0
382,5,4,9,1
91,0,3,0,0
148,2,3,2,0
212,4,3,0,0
155,2,1,1,0
560,3,22,9,1
375,3,23,9,1
206,0,2,2,0
140,1,5,4,0
180,2,0,1,0
288,2,2,2,0
153,1,1,1,0
47,0,0,1,0
49,1,2,1,0
632,4,24,4,1
182,4,17,0,1
29,1,1,1,0
130,3,3,1,0
451,2,19,3,1
51,2,6,3,1
723,8,30,6,1
106,7,8,3,1
200,0,6,10,1
308,0,2,2,0
102,2,0,0,0
174,1,3,2,0
136,4,1,2,0
333,4,3,3,1
22,2,0,2,0
270,2,3,1,0
823,5,9,9,1
246,4,1,0,0
166,2,0,1,0
93,0,3,2,0
170,5,21,6,1
249,5,2,2,0
174,4,3,4,0
558,0,10,5,1
107,6,24,0,1
260,2,2,0,0
94,9,7,1,1
300,1,4,1,0
86,0,0,1,0
109,1,2,2,0
83,4,2,0,0
381,5,3,2,0
151,9,23,6,1
282,0,1,4,0
75,1,0,2,0
85,2,0,2,0
859,1,28,5,1
621,10,28,2,1
511,3,26,5,1
204,1,0,6,0
101,1,7,7,1
150,0,3,2,0
240,0,0,2,0
184,2,0,0,0
158,6,20,10,1
159,0,1,2,0
38,1,2,1,0
596,7,5,8,1
259,4,0,1,0
881,2,15,6,1
299,1,2,0,0
934,7,11,4,1
63,6,9,8,1
611,4,22,4,1
101,9,16,3,1
778,4,28,6,1
241,4,5,6,1
615,9,7,6,1
526,2,24,6,1
110,1,18,9,1
433,4,3,10,1
99,2,21,7,1
241,1,5,1,0
196,0,1,2,0
284,9,26,0,1
990,3,24,7,1
146,0,3,0,0
242,4,0,1,0
150,5,3,2,0
264,1,2,2,0
748,3,22,10,1
214,2,3,0,0
226,1,6,2,0
145,2,2,0,0
424,10,1,7,1
972,7,13,5,1
735,5,20,5,1
103,3,23,4,1
300,4,18,6,1
147,7,25,5,1
125,8,28,10,1
375,2,0,2,0
100,2,1,2,0
51,2,24,3,1
159,2,3,0,0
402,2,3,2,0
665,9,15,8,1
216,10,24,3,1
210,0,3,0,0
129,6,20,1,1
175,0,0,1,0
208,1,5,2,0
156,1,0,1,0
76,9,14,10,1
388,5,17,5,1
769,3,2,6,1
72,2,17,1,1
21,2,3,0,0
534,3,6,0,1
758,7,28,0,1
712,7,23,10,1
490,5,7,7,1
724,5,3,5,1
456,0,5,1,0
289,0,0,0,0
895,2,23,2,1
115,1,3,1,0
657,1,17,3,1
203,2,24,2,1
299,0,2,0,0
89,4,29,3,1
168,4,2,1,0
208,0,0,0,0
321,6,23,8,1
382,4,1,6,0
253,3,18,7,1
255,2,1,1,0
454,9,27,9,1
174,4,14,8,1
82,0,24,6,1
840,7,24,5,1
149,3,5,10,1
602,2,7,5,1
447,10,5,4,1
174,4,0,1,0
231,4,0,1,0
923,4,22,6,1
183,8,13,9,1
193,2,0,0,0
532,9,15,10,1
83,3,0,0,0
142,0,0,2,0
843,10,3,5,1
788,7,25,10,1
226,4,8,9,1
127,0,2,2,0
302,0,11,7,1
317,0,1,1,0
678,9,14,8,1
206,4,20,6,1
97,2,29,10,1
190,9,18,8,1
151,2,1,0,0
104,3,3,8,1
394,9,5,5,1
80,1,3,2,0
898,10,25,3,1
230,2,1,1,0
799,2,5,8,1
575,5,29,3,1
66,3,26,9,1
710,2,6,7,1
159,4,3,0,0
307,9,17,4,1
656,9,13,3,1
629,9,7,2,1
111,0,3,3,0
308,4,1,1,1
25,1,2,1,0
275,1,1,6,0
58,1,3,1,0
278,2,0,0,0
28,0,1,0,0
225,4,10,2,0
130,2,11,3,1
571,10,16,4,1
310,0,2,8,1
134,9,2,6,1
992,2,7,1,1
912,10,5,0,1
742,7,6,3,1
139,6,3,7,1
163,3,1,4,0
345,0,1,1,0
106,2,5,10,1
212,3,19,7,1
270,0,4,5,0
108,1,4,0,0
898,8,27,8,1
148,2,9,5,1
262,2,2,2,0
444,8,0,6,1
744,10,3,7,1
405,5,4,9,1
212,2,3,1,0
714,10,19,3,1
248,2,1,1,0
254,0,0,1,0
183,6,22,6,1
151,1,2,6,0
182,4,7,8,1
269,1,3,3,0
475,2,1,1,0
132,3,9,9,1
696,4,3,3,1
383,0,3,1,0
130,2,0,2,0
125,1,1,0,0
785,4,22,6,1
117,2,29,9,1
211,1,0,5,0
375,5,24,1,1
869,10,8,3,1
283,3,3,0,0
276,1,7,2,0
284,1,3,0,0
745,10,18,6,1
738,7,22,8,1
146,5,10,5,0
878,2,4,7,1
78,6,5,10,1
100,3,11,8,1
83,0,3,2,0
394,3,22,0,1
281,0,30,4,1
598,9,20,6,1
429,1,2,2,0
224,5,7,0,0
291,1,3,1,0
882,0,0,9,1
142,4,0,0,0
531,4,10,1,1
293,2,6,0,0
297,2,0,1,0
144,0,2,2,0
350,9,7,1,1
39,1,2,0,0
247,2,2,0,0
184,2,4,1,0
180,1,2,0,0
209,0,8,1,0
204,2,0,2,0
211,1,2,2,0
540,8,0,8,1
714,9,30,7,1
160,1,2,2,0
118,8,3,0,1
125,2,0,2,0
244,2,2,2,0
253,0,0,2,0
202,1,1,1,0
716,3,28,1,1
131,8,10,3,1
172,2,2,2,0
57,2,0,4,0
294,0,2,6,0
171,0,3,1,0
822,2,10,8,1
821,8,7,7,1
868,7,3,9,1
360,2,27,8,1
484,2,1,3,0
180,10,23,6,1
828,8,12,4,1
982,6,8,8,1
179,9,29,3,1
947,8,23,4,1
77,2,5,3,1
888,7,9,8,1
832,4,25,7,1
160,2,2,2,0
219,2,7,1,0
213,2,9,1,0
245,0,0,0,0
275,2,3,0,0
159,2,1,2,0
134,0,2,5,0
198,3,3,2,0
150,5,1,7,1
936,3,29,4,1
177,0,3,4,0
298,0,1,1,0
78,5,3,2,0
647,2,11,1,1
381,3,24,3,1
120,0,17,6,1
625,3,2,10,1
233,5,1,2,0
160,9,20,0,1
350,8,29,6,1
189,4,2,0,0
62,10,1,9,1
244,0,1,1,0
149,1,7,2,0
173,5,1,2,0
448,2,10,4,0
293,1,3,0,0
208,7,14,10,1
743,10,15,10,1
453,6,8,7,1
71,2,8,2,0
53,2,16,6,1
184,2,10,2,0
872,7,1,10,1
808,6,14,3,1
395,0,0,3,0
528,2,12,0,1
984,4,17,9,1
191,2,0,2,0
507,3,3,10,1
151,10,8,1,1
738,3,2,8,1
214,1,2,1,0
156,3,3,0,0
198,2,9,2,0
872,10,17,8,1
620,6,8,0,1
99,0,1,1,0
638,2,25,1,1
132,2,2,6,0
105,1,2,2,0
323,9,20,7,1
410,0,0,2,0
600,8,15,6,1
205,0,1,2,0
229,2,3,0,0
647,3,22,8,1
573,10,30,3,1
368,1,13,4,1
299,0,8,0,0
221,0,6,1,0
29,4,3,5,0
234,4,29,5,1
269,2,3,2,0
391,4,22,4,1
104,2,3,0,0
69,1,1,2,0
156,1,1,1,0
458,5,22,9,1
956,9,10,10,1
111,1,3,1,0
274,0,1,1,0
464,7,9,9,1
202,0,2,0,0
86,2,3,1,0
106,10,11,10,1
832,6,25,1,1
37,0,2,1,0
34,0,0,2,0
962,10,24,3,1
183,4,2,3,0
236,1,0,2,0
516,9,2,4,1
294,1,2,1,0
99,10,8,7,1
866,7,5,8,1
128,2,1,3,1
747,8,18,5,1
282,1,1,1,0
447,1,8,2,0
183,2,0,1,0
106,8,17,3,1
281,1,4,6,0
29,0,2,0,0
336,0,22,3,1
172,2,0,1,0
148,3,5,1,0
190,3,2,4,0
299,1,2,2,0
118,2,1,0,0
287,5,14,10,1
850,2,7,9,1
81,0,2,2,0
67,8,23,7,1
986,5,27,5,1
425,1,2,0,0
731,0,21,3,1
926,0,20,8,1
271,1,0,2,0
774,2,14,7,1
400,0,10,0,0
273,1,0,2,0
213,0,1,5,1
131,0,2,0,0
107,0,1,2,0
782,6,6,8,1
58,9,6,4,1
429,2,1,2,0
100,2,0,2,0
242,2,3,5,0
639,2,2,5,1
80,2,3,0,0
237,0,3,2,0
178,2,18,5,1
194,0,3,1,0
123,10,9,4,1
289,1,2,0,0
797,8,20,6,1
258,2,0,0,0
205,1,2,0,0
137,2,2,0,0
192,7,13,4,1
134,4,29,7,1
193,4,1,2,0
177,0,0,0,0
559,5,28,9,1
260,2,10,2,0
702,2,4,7,1
278,7,18,10,1
997,2,17,4,1
39,0,0,0,0
169,0,2,3,0
105,1,2,0,0
125,6,24,5,1
290,1,2,2,0
138,9,5,9,1
66,1,10,2,0
158,9,12,7,1
442,0,23,5,1
129,9,5,3,1
501,2,9,8,1
29,2,3,5,0
60,3,1,9,1
429,2,1,4,0
143,0,4,0,0
203,0,10,2,0
560,9,11,0,1
438,1,3,5,0
45,0,1,2,0
468,0,0,0,0
148,8,4,8,1
129,2,1,1,0
565,7,20,1,1
113,0,3,2,0
612,6,9,0,1
43,2,1,1,0
760,10,9,7,1
557,2,25,1,1
794,4,1,0,1
160,8,6,1,1
237,1,4,3,1
531,0,6,3,1
185,5,3,2,0
103,0,1,0,0
211,1,0,0,0
135,5,3,0,0
29,0,1,2,0
240,1,2,1,0
288,3,1,1,0
119,2,10,1,0
317,0,5,0,0
250,10,29,5,1
459,1,0,2,0
670,2,13,10,1
49,0,2,4,0
170,2,16,5,1
31,0,3,2,0
137,2,16,8,1
944,2,7,10,1
160,1,1,0,0
523,2,12,4,1
204,1,1,0,0
602,8,28,6,1
136,4,16,10,1
726,2,22,4,1
84,2,2,2,0
637,2,27,6,1
174,2,2,2,0
96,0,3,1,0
724,6,0,10,1
147,0,3,2,0
235,8,2,3,1
26,1,2,1,0
438,8,26,8,1
106,8,3,6,1
51,0,2,0,0
1000,0,30,6,1
274,0,0,1,0
54,2,3,2,0
128,4,2,5,0
95,1,3,1,0
470,3,5,5,1
208,0,3,3,0
52,10,2,2,1
148,1,0,2,0
105,1,2,1,0
55,3,26,7,1
776,7,28,7,1
640,5,4,5,1
173,2,1,1,0
81,1,1,2,0
637,4,7,9,1
289,9,4,10,1
74,0,1,1,0
22,0,3,3,0
969,4,26,6,1
142,9,8,8,1
554,0,28,10,1
645,6,3,8,1
242,1,1,2,0
683,7,30,4,1
32,0,4,2,0
107,4,18,8,1
295,2,23,4,1
269,2,1,0,0
141,1,10,0,0
127,2,15,7,1
168,1,29,4,1
224,0,3,2,0
476,2,3,3,0
189,2,26,1,1
268,5,5,6,1
261,1,2,2,0
274,4,3,4,0
217,1,2,1,0
150,1,10,1,0
202,0,3,2,0
109,1,3,0,0
183,3,4,3,1
169,2,3,3,0
966,10,20,10,1
480,4,28,9,1
232,1,2,2,0
414,1,1,0,0
179,0,2,0,0
86,5,27,8,1
83,2,16,3,1
185,0,2,2,0
273,1,1,2,0
85,5,1,1,0
214,0,1,2,0
54,4,3,1,0
368,1,4,1,0
286,1,10,2,0
440,4,4,2,0
74,2,3,4,0
445,1,2,1,0
219,1,8,0,0
766,10,11,10,1
230,3,14,7,1
965,1,11,6,1
596,1,5,0,1
101,5,0,8,1
35,2,3,0,0
81,5,23,3,1
112,1,2,0,0
453,3,1,0,0
439,5,7,7,1
28,4,1,1,0
887,10,16,3,1
408,2,21,0,1
171,1,1,1,0
209,1,2,2,0
165,1,2,0,0
281,1,4,2,0
32,2,3,2,0
247,2,0,0,0
530,10,21,7,1
150,1,1,0,0
182,2,0,2,0
242,0,1,1,0
250,0,2,2,0
130,1,2,5,0
198,1,3,0,0
173,2,1,5,0
143,9,27,4,1
791,8,19,8,1
147,4,6,3,1
663,6,22,9,1
215,2,0,4,0
626,7,4,4,1
209,0,2,2,0
271,1,3,6,0
616,7,5,4,1
177,10,11,7,1
409,0,3,3,0
400,10,27,10,1
431,1,1,2,0
191,10,25,3,1
51,1,1,0,0
195,9,14,0,1
254,5,3,2,0
76,1,2,0,0
824,2,4,3,1
257,1,10,1,0
695,3,25,10,1
830,5,29,5,1
50,0,1,2,0
72,9,25,3,1
333,10,13,6,1
432,9,14,3,1
181,2,2,0,0
252,2,26,6,1
150,0,1,1,0
713,5,5,8,1
279,2,0,2,0
143,4,21,2,1
45,0,2,2,0
198,9,6,10,1
236,2,1,2,0
602,6,12,10,1
686,5,23,9,1
300,1,1,5,0
608,4,29,2,1
361,9,25,9,1
152,5,23,6,1
403,0,2,0,0
274,4,0,2,0
957,1,10,3,1
77,7,4,1,1
664,10,6,7,1
388,7,24,2,1
248,3,19,6,1
175,1,3,1,0
136,0,6,2,0
145,6,17,7,1
333,2,2,4,0
278,4,1,3,0
149,6,5,0,1
686,6,20,7,1
289,3,3,3,0
885,1,25,4,1
73,0,0,0,0
178,1,1,1,0
142,9,3,5,1
166,4,1,2,0
938,2,6,9,1
733,3,0,5,1
128,1,24,1,1
254,4,18,9,1
68,1,3,0,0
241,2,0,2,0
411,2,3,2,0
337,3,9,7,1
200,1,1,1,0
207,0,3,1,0
359,9,7,8,1
46,0,7,0,0
92,0,4,5,1
158,3,10,5,1
162,2,3,5,0
254,4,4,8,1
90,2,8,1,0
482,6,10,4,1
214,2,21,10,1
504,3,0,10,1
471,6,5,5,1
204,1,2,0,0
456,5,13,2,1
198,4,27,10,1
194,8,5,8,1
412,9,22,10,1
354,2,2,1,0
152,5,0,1,0
961,2,23,6,1
229,0,4,6,0
125,2,3,6,0
203,2,3,1,0
735,7,28,4,1
888,2,4,3,1
50,0,3,4,1
42,1,3,1,0
65,5,2,2,0
243,2,2,2,0
948,5,26,1,1
435,0,1,2,0
60,1,0,0,0
174,5,6,2,0
175,2,2,2,0
800,3,15,3,1
623,3,7,2,1
265,2,1,0,0
507,0,21,8,1
83,0,3,2,0
194,2,5,1,0
350,7,22,7,1
50,1,3,0,0
371,3,8,6,0
97,8,9,4,1
240,0,2,1,0
209,3,3,3,0
122,8,12,8,1
811,8,27,10,1
234,1,0,2,0
34,1,1,1,0
908,2,29,9,1
120,5,2,1,0
198,5,27,0,1
31,1,0,0,0
341,4,8,2,0
256,1,1,2,0
198,2,0,0,0
233,0,3,2,0
337,0,3,2,0
202,3,8,6,1
879,0,5,3,1
284,2,6,1,0
616,2,13,6,1
565,7,15,5,1
165,3,4,0,0
336,4,2,0,0
606,10,17,7,1
283,3,11,9,1
959,3,28,4,1
638,5,22,3,1
204,2,3,0,0
188,2,9,3,0
533,4,5,5,1
123,2,6,1,0
953,8,14,3,1
967,3,28,3,1
248,2,1,2,0
786,4,6,5,1
107,6,14,3,1
